player_id,season_id,Expected_assists_xA_,Pass_accuracy,Assists,Dribble_success,Key_passes
6a925565-8b23-11ef-bdd6-00ff248ba4a4,3,5.56,58.9%,5,48.0%,43
6a9256d3-8b23-11ef-bdd6-00ff248ba4a4,3,6.85,85.4%,10,42.9%,58
6a925869-8b23-11ef-bdd6-00ff248ba4a4,1,11,83.00%,9,47.60%,91
6a925869-8b23-11ef-bdd6-00ff248ba4a4,2,5.81,80.9%,11,47.7%,75
6a925869-8b23-11ef-bdd6-00ff248ba4a4,3,6.85,79.5%,7,42.2%,68
6a925a59-8b23-11ef-bdd6-00ff248ba4a4,3,6.19,69.3%,3,42.5%,65
6a925bc2-8b23-11ef-bdd6-00ff248ba4a4,3,2.91,75.2%,3,45.0%,27
6a925d2f-8b23-11ef-bdd6-00ff248ba4a4,3,2.1,63.4%,5,48.8%,29
6a925eaa-8b23-11ef-bdd6-00ff248ba4a4,3,2.26,87.4%,2,60.4%,30
6a926015-8b23-11ef-bdd6-00ff248ba4a4,3,2.07,68.3%,6,43.6%,33
6a9262df-8b23-11ef-bdd6-00ff248ba4a4,3,4,89.6%,4,57.6%,59
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,2,5.99,78.9%,12,53.7%,23
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,3,4.91,77.9%,3,70.0%,47
6a9265fd-8b23-11ef-bdd6-00ff248ba4a4,3,3.1,81.2%,3,56.6%,38
6a9268dc-8b23-11ef-bdd6-00ff248ba4a4,3,3.26,81.1%,6,46.2%,32
6a926a45-8b23-11ef-bdd6-00ff248ba4a4,1,4.32,81.10%,7,45.70%,46
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,1,11.17,86.80%,10,49.30%,102
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,2,7.95,84.0%,7,62.3%,76
6a926e8a-8b23-11ef-bdd6-00ff248ba4a4,3,5.39,86.0%,4,54.3%,77
6a927162-8b23-11ef-bdd6-00ff248ba4a4,2,6.96,82.4%,5,52.2%,59
6a927701-8b23-11ef-bdd6-00ff248ba4a4,2,4.38,87.2%,2,66.7%,47
6a928752-8b23-11ef-bdd6-00ff248ba4a4,1,5.55,83.70%,4,51.90%,54
6a928752-8b23-11ef-bdd6-00ff248ba4a4,2,3.1,82.4%,4,63.4%,57
6a928971-8b23-11ef-bdd6-00ff248ba4a4,1,2.77,80.00%,2,60.00%,27
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,1,5.63,72.30%,6,38.20%,32
6a928dd1-8b23-11ef-bdd6-00ff248ba4a4,2,5.58,73.7%,8,54.9%,51
6a928f57-8b23-11ef-bdd6-00ff248ba4a4,1,4.45,71.60%,8,42.90%,33
6a9290f5-8b23-11ef-bdd6-00ff248ba4a4,1,6.29,87.90%,9,47.60%,67
6a92927c-8b23-11ef-bdd6-00ff248ba4a4,2,1.86,62.8%,3,44.6%,28
6a929457-8b23-11ef-bdd6-00ff248ba4a4,2,6.29,78.6%,7,62.4%,67
6a9295f5-8b23-11ef-bdd6-00ff248ba4a4,2,5.43,76.4%,3,51.0%,49
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,1,2.69,79.30%,5,64.60%,25
6a92977b-8b23-11ef-bdd6-00ff248ba4a4,2,1.89,78.4%,2,63.9%,23
6a929904-8b23-11ef-bdd6-00ff248ba4a4,2,4.02,86.5%,7,61.5%,47
6a929a8d-8b23-11ef-bdd6-00ff248ba4a4,2,2.58,79.4%,1,65.1%,26
