player_id,season_id,Goals_per_90,Expected_goals_xG_per_90,xG_on_target_xGOT_per_90,Penalty_goals_per_90,Non_penalty_xG_per_90,Shots_per_90,Shots_on_target_per_90,Assists_per_90,Expected_assists_xA_per_90,Pass_accuracy_per_90,Dribble_success_per_90,Touches_per_90,Touches_in_opposition_box_per_90,Aerial_duels_won_per_90,Aerial_duels_won_percentage_per_90
6a929f1e-8b23-11ef-bdd6-00ff248ba4a4,1,0.51,0.53,0.44,0.05,0.47,2.95,1.03,0.08,0.05,73.70%,39.40%,33.07,6.46,2.65,41.90%
6a92a0a9-8b23-11ef-bdd6-00ff248ba4a4,1,0.63,0.43,0.53,0.08,0.37,1.81,1.14,0.2,0.05,73.80%,41.00%,33.31,4.22,1.97,42.40%
6a92a232-8b23-11ef-bdd6-00ff248ba4a4,1,0.45,0.6,0.51,0,0.6,2.57,1.32,0.16,0.09,78.00%,59.30%,36.65,5.39,1.12,35.70%
6a92a3d6-8b23-11ef-bdd6-00ff248ba4a4,1,0.44,0.35,0.39,0.04,0.32,2.68,1.39,0.26,0.11,81.60%,51.20%,50.52,4.7,0.59,25.40%
6a92a525-8b23-11ef-bdd6-00ff248ba4a4,1,0.43,0.38,0.33,0,0.38,2.4,0.93,0.11,0.07,73.20%,46.50%,30,4.59,1.36,43.70%
6a92a5b5-8b23-11ef-bdd6-00ff248ba4a4,1,0.51,0.33,0.29,0.04,0.29,1.91,0.76,0.13,0.12,77.70%,54.50%,37.29,5,0.3,13.70%
6a92a73e-8b23-11ef-bdd6-00ff248ba4a4,1,0.34,0.32,0.28,0.03,0.29,2.52,0.96,0.31,0.17,81.80%,48.60%,48.85,5.28,0.28,33.30%
6a92a8bd-8b23-11ef-bdd6-00ff248ba4a4,1,0.35,0.36,0.43,0.16,0.24,2.23,0.97,0.13,0.05,66.80%,60.80%,37.45,4.52,4.21,43.80%
6a92aa53-8b23-11ef-bdd6-00ff248ba4a4,1,0.7,0.39,0.46,0.07,0.33,4.02,1.48,0.42,0.35,83.10%,54.80%,75.97,5.92,0.49,31.80%
6a92abe5-8b23-11ef-bdd6-00ff248ba4a4,1,0.43,0.27,0.27,0,0.27,2.3,0.78,0.39,0.32,78.20%,53.30%,50.34,6.08,0.65,38.50%
6a92ad68-8b23-11ef-bdd6-00ff248ba4a4,1,0.41,0.32,0.39,0,0.32,1.58,0.87,0.08,0.04,77.00%,50.00%,28.42,4.32,1.04,27.50%
6a92aefc-8b23-11ef-bdd6-00ff248ba4a4,1,0.63,0.43,0.55,0,0.43,1.97,0.89,0,0.03,72.60%,28.10%,33.51,5.52,2.73,48.30%
6a92b083-8b23-11ef-bdd6-00ff248ba4a4,1,0.27,0.21,0.28,0.12,0.11,1.44,0.51,0.15,0.16,89.40%,60.00%,73.63,1.23,0.75,56.80%
6a92b1f3-8b23-11ef-bdd6-00ff248ba4a4,1,0.4,0.53,0.46,0.18,0.35,3.3,1.15,0.13,0.21,82.70%,48.90%,59.3,8.72,1.81,64.10%
6a92b354-8b23-11ef-bdd6-00ff248ba4a4,1,0.51,0.49,0.49,0,0.49,4.11,1.52,0.06,0.05,62.10%,27.80%,30.04,7.1,4.23,40.50%
6a92b68c-8b23-11ef-bdd6-00ff248ba4a4,1,0.27,0.4,0.28,0,0.4,3.2,1.09,0.17,0.16,85.30%,54.00%,55.1,7.96,0.92,35.10%
6a92b757-8b23-11ef-bdd6-00ff248ba4a4,1,0.26,0.15,0.21,0,0.15,1.86,0.78,0.1,0.22,81.90%,45.00%,57.95,8.14,0.23,31.80%
