player_id,season_id,Goals_per_90,Expected_goals_xG_per_90,xG_on_target_xGOT_per_90,Penalty_goals_per_90,Non_penalty_xG_per_90,Shots_per_90,Shots_on_target_per_90,Assists_per_90,Expected_assists_xA_per_90,Pass_accuracy_per_90,Dribble_success_per_90,Touches_per_90,Touches_in_opposition_box_per_90,Aerial_duels_won_per_90,Aerial_duels_won_percentage_per_90
6a9224db-8b23-11ef-bdd6-00ff248ba4a4,2,0.45,0.47,0.48,0.11,0.39,2.38,1.02,0.11,0.08,67.3%,47.1%,31.21,5.27,1.42,40.3%
6a9224db-8b23-11ef-bdd6-00ff248ba4a4,4,0.49,0.35,0.47,0.08,0.29,2.35,1.11,0.16,0.05,66.3%,50.8%,36.45,5.19,0.95,24.2%
6a92264b-8b23-11ef-bdd6-00ff248ba4a4,1,0.7,0.59,0.53,0,0.59,2.39,1.3,0.05,0.05,64.50%,40.00%,33.44,4.88,3.64,42.90%
6a92264b-8b23-11ef-bdd6-00ff248ba4a4,4,0.39,0.43,0.43,0.07,0.38,2.29,1.28,0.1,0.04,65.1%,33.3%,32.92,4.48,5.04,43.4%
6a9227b7-8b23-11ef-bdd6-00ff248ba4a4,4,1.07,0.62,0.67,0,0.62,3.71,1.85,0.2,0.11,73.2%,55.1%,59.58,4.39,2.24,65.7%
6a922946-8b23-11ef-bdd6-00ff248ba4a4,3,0.51,0.56,0.43,0,0.56,3.12,1.24,0.06,0.14,77.3%,61.0%,52.68,6.85,0.96,36.1%
6a922946-8b23-11ef-bdd6-00ff248ba4a4,4,0.35,0.45,0.37,0,0.45,3.01,1.15,0.22,0.17,78.7%,56.9%,55.73,8.33,1.15,36.0%
6a922aac-8b23-11ef-bdd6-00ff248ba4a4,4,0.38,0.26,0.32,0.14,0.15,2.27,0.98,0.21,0.18,79.6%,54.1%,54.26,2.44,0.45,27.7%
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,3,0.46,0.32,0.37,0.16,0.14,2.25,1.04,0.03,0.18,79.9%,49.3%,55.38,4.47,0.39,25.5%
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,4,0.38,0.28,0.25,0.07,0.22,2.07,0.69,0.07,0.13,78.3%,47.0%,47.17,5.75,0.31,25.7%
6a922d90-8b23-11ef-bdd6-00ff248ba4a4,2,0.53,0.48,0.58,0,0.48,3.37,1.56,0.16,0.09,78.7%,42.5%,41.45,6.17,0.62,33.3%
6a922d90-8b23-11ef-bdd6-00ff248ba4a4,4,0.34,0.27,0.28,0,0.27,2.43,1.14,0.28,0.1,82.1%,50.3%,55.05,5.75,0.77,56.8%
6a922f01-8b23-11ef-bdd6-00ff248ba4a4,4,0.26,0.22,0.17,0,0.22,1.68,0.61,0.03,0.06,75.5%,55.2%,57.52,2.9,6.16,59.2%
6a92306e-8b23-11ef-bdd6-00ff248ba4a4,4,0.5,0.41,0.39,0,0.41,3.51,1.68,0.05,0.05,58.6%,59.3%,44.85,6.09,10.15,56.8%
6a9231ea-8b23-11ef-bdd6-00ff248ba4a4,3,0.3,0.33,0.35,0,0.31,2.51,0.88,0.24,0.15,67.5%,53.8%,38.36,5.2,2.39,40.9%
6a9231ea-8b23-11ef-bdd6-00ff248ba4a4,4,0.45,0.62,0.48,0,0.62,2.86,1.13,0.23,0.08,68.2%,49.4%,41.57,5.76,3.31,45.1%
6a923362-8b23-11ef-bdd6-00ff248ba4a4,4,0.39,0.39,0.3,0.08,0.33,2.2,0.85,0.12,0.11,78.0%,48.0%,36.2,4.81,1.35,37.6%
6a9235cb-8b23-11ef-bdd6-00ff248ba4a4,4,0.66,0.53,0.41,0,0.53,2.24,0.99,0.2,0.11,77.4%,50.0%,32.83,4.47,0.66,35.7%
6a9237c4-8b23-11ef-bdd6-00ff248ba4a4,3,0.55,0.59,0.62,0.08,0.49,2.41,1.18,0.21,0.19,85.4%,47.3%,55.39,8.93,0.17,17.4%
