player_id,season_id,Goals_per_shot,Goals_per_Shot_on_Target,Minutes_per_Goal,Total_shots,Average_SofaScore_Rating,Shots_on_target,Shots_inside_box,Shots_outside_box,Regular_play,Goals,Header,Goal_conversion_percentage,Big_chances_missed,Expected_goals_xG,Non_penalty_xG,xG_on_target_xGOT,Penalty_goals,Minutes_played
6a92264b-8b23-11ef-bdd6-00ff248ba4a4,4,0.17,0.31,0.17,70,6.8,39,55,15,61,12,2,17.14,19,13.08,11.5,13.01,2,"2,750"
6a9227b7-8b23-11ef-bdd6-00ff248ba4a4,4,0.29,0.58,83.91,38,7.48,19,22,16,27,11,2,28.95,2,6.31,6.31,6.89,0,923
6a922946-8b23-11ef-bdd6-00ff248ba4a4,3,0.16,0.41,0.12,98,7.22,39,79,19,74,16,3,16.33,13,17.51,17.51,13.48,0,"2,824"
6a922946-8b23-11ef-bdd6-00ff248ba4a4,4,0.12,0.31,0.18,94,7.21,36,81,13,77,11,2,11.7,18,14.17,14.17,11.69,0,"2,810"
6a922aac-8b23-11ef-bdd6-00ff248ba4a4,4,0.17,0.39,0.18,65,7.18,28,42,23,39,11,0,16.92,2,7.35,4.19,9.09,4,"2,581"
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,3,0.2,0.44,0.14,69,6.98,32,53,16,54,14,1,20.29,4,9.83,4.32,11.39,5,"2,761"
6a922c20-8b23-11ef-bdd6-00ff248ba4a4,4,0.18,0.55,0.18,60,6.93,20,46,14,48,11,0,18.33,5,8.1,6.52,7.26,2,"2,614"
6a922d90-8b23-11ef-bdd6-00ff248ba4a4,2,0.16,0.34,0.12,108,6.89,50,78,30,84,17,3,15.74,22,15.47,15.47,18.59,0,"2,888"
6a922d90-8b23-11ef-bdd6-00ff248ba4a4,4,0.14,0.3,0.18,79,6.92,37,49,30,65,11,0,13.92,11,8.95,8.95,9.05,0,"2,928"
6a922f01-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.43,0.3,64,7.16,23,52,12,44,10,3,15.63,1,8.42,8.42,6.41,0,"3,419"
6a92306e-8b23-11ef-bdd6-00ff248ba4a4,4,0.14,0.29,0.1,71,7.11,34,62,9,47,10,6,14.08,5,8.26,8.26,7.9,0,"1,818"
6a9231ea-8b23-11ef-bdd6-00ff248ba4a4,3,0.12,0.34,0.2,83,6.98,29,67,16,60,10,1,12.05,10,10.95,10.17,11.72,0,"2,975"
6a9231ea-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.4,0.1,63,7.01,25,51,12,54,10,2,15.87,9,13.59,13.59,10.68,0,"1,983"
6a923362-8b23-11ef-bdd6-00ff248ba4a4,4,0.18,0.45,0.2,57,6.96,22,48,9,49,10,1,17.54,7,10.22,8.64,7.81,2,"2,337"
6a9235cb-8b23-11ef-bdd6-00ff248ba4a4,4,0.29,0.67,0.1,34,6.9,15,30,4,26,10,6,29.41,7,8.04,8.04,6.24,0,"1,368"
6a9237c4-8b23-11ef-bdd6-00ff248ba4a4,3,0.23,0.46,0.15,57,7.05,28,47,10,41,13,3,22.81,13,13.91,11.55,14.69,2,"2,127"
6a9237c4-8b23-11ef-bdd6-00ff248ba4a4,4,0.14,0.36,0.2,70,6.9,28,58,12,58,10,2,14.29,13,11.08,10.29,11.15,0,"2,537"
6a92395a-8b23-11ef-bdd6-00ff248ba4a4,4,0.16,0.33,0.1,64,6.89,30,35,29,47,10,0,15.63,4,8.45,5.3,8.5,4,"1,612"
