player_id,season_id,Touches,Touches_in_opposition_box,Aerial_duels_won,Aerial_duels_won_percentage
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,2,"2,564",29,44,45.8%
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,3,"2,509",23,27,43.5%
6a924a4b-8b23-11ef-bdd6-00ff248ba4a4,4,"3,146",23,47,42.0%
6a924bd2-8b23-11ef-bdd6-00ff248ba4a4,2,"1,606",107,4,28.6%
6a924bd2-8b23-11ef-bdd6-00ff248ba4a4,3,"1,468",78,5,29.4%
6a924bd2-8b23-11ef-bdd6-00ff248ba4a4,4,"1,505",65,2,15.4%
6a924d43-8b23-11ef-bdd6-00ff248ba4a4,3,"1,595",106,19,26.0%
6a924d43-8b23-11ef-bdd6-00ff248ba4a4,4,"1,679",119,26,38.8%
6a924f23-8b23-11ef-bdd6-00ff248ba4a4,4,"2,730",61,33,45.2%
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,1,"1,226",186,33,32.00%
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,3,"1,373",163,38,36.9%
6a9250a9-8b23-11ef-bdd6-00ff248ba4a4,4,"1,175",109,23,31.1%
6a925219-8b23-11ef-bdd6-00ff248ba4a4,3,"1,237",182,42,38.2%
6a925385-8b23-11ef-bdd6-00ff248ba4a4,2,"1,958",104,13,50.0%
6a925385-8b23-11ef-bdd6-00ff248ba4a4,3,"1,907",107,12,40.0%
6a925565-8b23-11ef-bdd6-00ff248ba4a4,2,"1,345",167,109,48.0%
6a925565-8b23-11ef-bdd6-00ff248ba4a4,3,"1,349",167,147,55.9%
6a9256d3-8b23-11ef-bdd6-00ff248ba4a4,3,"1,654",145,6,16.2%
6a925869-8b23-11ef-bdd6-00ff248ba4a4,1,"2,130",287,24,39.30%
6a925869-8b23-11ef-bdd6-00ff248ba4a4,2,"2,067",256,16,29.6%
6a925869-8b23-11ef-bdd6-00ff248ba4a4,3,"1,781",221,23,34.8%
6a925a59-8b23-11ef-bdd6-00ff248ba4a4,3,"1,948",139,23,42.6%
6a925bc2-8b23-11ef-bdd6-00ff248ba4a4,3,911,163,15,16.9%
6a925d2f-8b23-11ef-bdd6-00ff248ba4a4,1,734,125,26,31.00%
6a925d2f-8b23-11ef-bdd6-00ff248ba4a4,3,"1,153",140,66,29.6%
6a925eaa-8b23-11ef-bdd6-00ff248ba4a4,3,"1,093",66,7,28.0%
6a926015-8b23-11ef-bdd6-00ff248ba4a4,3,"1,265",146,45,36.0%
6a926178-8b23-11ef-bdd6-00ff248ba4a4,3,725,90,24,34.8%
6a9262df-8b23-11ef-bdd6-00ff248ba4a4,3,"2,402",193,7,31.8%
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,1,994,134,6,37.50%
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,2,"1,361",151,7,31.8%
6a9264a2-8b23-11ef-bdd6-00ff248ba4a4,3,"1,697",170,9,31.0%
