Nationality_id,player_name,player_id
30,"Granit Xhaka",6a929904-8b23-11ef-bdd6-00ff248ba4a4
31,"Philip Billing",6a929a8d-8b23-11ef-bdd6-00ff248ba4a4
32,"Kaoru Mitoma",6a929c17-8b23-11ef-bdd6-00ff248ba4a4
1,"Cole Palmer",6a929d97-8b23-11ef-bdd6-00ff248ba4a4
1,"Dominic Solanke",6a929f1e-8b23-11ef-bdd6-00ff248ba4a4
6,"Jean-Philippe Mateta",6a92a0a9-8b23-11ef-bdd6-00ff248ba4a4
10,"Nicolas Jackson",6a92a232-8b23-11ef-bdd6-00ff248ba4a4
11,"Matheus Cunha",6a92a3d6-8b23-11ef-bdd6-00ff248ba4a4
33,"Yoane Wissa",6a92a525-8b23-11ef-bdd6-00ff248ba4a4
4,"Hee-Chan Hwang",6a92a5b5-8b23-11ef-bdd6-00ff248ba4a4
1,"Anthony Gordon",6a92a73e-8b23-11ef-bdd6-00ff248ba4a4
1,"Carlton Morris",6a92a8bd-8b23-11ef-bdd6-00ff248ba4a4
6,"Michael Olise",6a92aa53-8b23-11ef-bdd6-00ff248ba4a4
15,"Leon Bailey",6a92abe5-8b23-11ef-bdd6-00ff248ba4a4
31,"Rasmus Hojlund",6a92ad68-8b23-11ef-bdd6-00ff248ba4a4
1,"Elijah Adebayo",6a92aefc-8b23-11ef-bdd6-00ff248ba4a4
11,"Douglas Luiz",6a92b083-8b23-11ef-bdd6-00ff248ba4a4
11,"Joao Pedro",6a92b1f3-8b23-11ef-bdd6-00ff248ba4a4
11,"Rodrigo Muniz",6a92b354-8b23-11ef-bdd6-00ff248ba4a4
34,"Luis Diaz",6a92b68c-8b23-11ef-bdd6-00ff248ba4a4
28,"Dejan Kulusevski",6a92b757-8b23-11ef-bdd6-00ff248ba4a4
